Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
2023,NC,North Carolina,Sampson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,29.4,,,24.6,34.7,"59,601","44,966",37163,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.3716173368201 34.9921847299645)
2023,NC,North Carolina,Onslow,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,22.9,,,18.6,27.5,"213,676","160,933",37133,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.4275153859824 34.7305699378555)
2023,NC,North Carolina,Durham,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,21.7,,,17.8,26.2,"336,892","271,458",37063,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.8762704368696 36.0359200892271)
2023,NC,North Carolina,Martin,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,28.6,,,23.6,33.9,"21,447","17,125",37117,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.1093472458262 35.8432221253514)
2023,NC,North Carolina,Tyrrell,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,29.5,,,24.5,35,"3,461","2,772",37177,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-76.2078458813114 35.8180871559222)
2023,NC,North Carolina,Randolph,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.5,,,21.9,31.7,"147,458","114,881",37151,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.8059275016308 35.7103579095623)
2023,NC,North Carolina,Gaston,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.4,,,19.8,29.6,"237,242","184,354",37071,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-81.1801972591213 35.2943611535336)
2023,NC,North Carolina,Scotland,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,32.7,,,27.4,38.2,"34,376","26,528",37165,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.4801629069361 34.8409047045285)
2023,NC,North Carolina,Jackson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.2,,,19.4,29.4,"44,574","37,282",37099,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-83.140690459055 35.2882917929266)
2023,NC,North Carolina,Person,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,26.5,,,21.8,32.3,"39,737","31,541",37145,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.9717598158032 36.3900143908706)
2023,NC,North Carolina,Jones,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,28.6,,,23.6,33.9,"9,401","7,647",37103,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.3548950478113 35.0214417782855)
2023,NC,North Carolina,Yadkin,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,25.3,,,20.7,30.5,"37,774","30,051",37197,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.6651545675768 36.1601990907039)
2023,NC,North Carolina,Guilford,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,23.5,,,19.4,28.2,"549,866","430,053",37081,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.7889017999481 36.079488692501)
2023,NC,North Carolina,Mecklenburg,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,21.1,,,17.3,24.9,"1,163,701","901,633",37119,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.8328001765676 35.2467186870894)
2023,NC,North Carolina,Orange,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,18.4,,,14.8,22.2,"150,626","122,940",37135,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-79.1206058027686 36.0613413706585)
2023,NC,North Carolina,Iredell,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,20.7,,,16.7,25.5,"199,710","155,704",37097,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.8731910815794 35.8070107330188)
2023,NC,North Carolina,Forsyth,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.5,,,20.1,29.2,"392,921","304,926",37067,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-80.2562678118814 36.1306194708921)
2023,NC,North Carolina,Wake,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,17.9,,,14.8,21.2,"1,190,275","919,538",37183,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-78.6503446201168 35.7900594036584)
2023,NC,North Carolina,Macon,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.3,,,19.7,29.5,"38,412","31,394",37113,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-83.4217780844555 35.1506263752147)
